Postcode;Plaatsnaam;Gemeentecode;Gemeente;Provinciecode;Provincie;Zorgkantoorcode;Zorgkantoor;Rechtspersoon
5662;GELDROP           ;1771;GELDROP-MIERLO          ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5663;GELDROP           ;1771;GELDROP-MIERLO          ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5664;GELDROP           ;1771;GELDROP-MIERLO          ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5665;GELDROP           ;1771;GELDROP-MIERLO          ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5666;GELDROP           ;1771;GELDROP-MIERLO          ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5667;GELDROP           ;1771;GELDROP-MIERLO          ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5670;NUENEN            ;820;NUENEN CA               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5671;NUENEN            ;820;NUENEN CA               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5672;NUENEN            ;820;NUENEN CA               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5673;NUENEN            ;820;NUENEN CA               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5674;NUENEN            ;820;NUENEN CA               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5680;BEST              ;753;BEST                    ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5681;BEST              ;753;BEST                    ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5682;BEST              ;753;BEST                    ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5683;BEST              ;753;BEST                    ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5684;BEST              ;753;BEST                    ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5685;BEST              ;753;BEST                    ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5688;OIRSCHOT          ;823;OIRSCHOT                ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5689;OIRSCHOT          ;823;OIRSCHOT                ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5690;SON EN BREUGEL    ;848;SON EN BREUGEL          ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5691;SON EN BREUGEL    ;848;SON EN BREUGEL          ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5692;SON EN BREUGEL    ;848;SON EN BREUGEL          ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5694;SON EN BREUGEL    ;848;SON EN BREUGEL          ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5700;HELMOND           ;794;HELMOND                 ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5701;HELMOND           ;794;HELMOND                 ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5702;HELMOND           ;794;HELMOND                 ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5703;HELMOND           ;794;HELMOND                 ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5704;HELMOND           ;794;HELMOND                 ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5705;HELMOND           ;794;HELMOND                 ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5706;HELMOND           ;794;HELMOND                 ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
